Body,Network,Series,Batch,Geometric Mean
1-Pendulum,CLNN,avg_rel_err_pred,41,1.62229191636554e-05
1-Pendulum,CLNN,avg_rel_err_pred,42,2.056996529036735e-05
1-Pendulum,CLNN,avg_rel_err_pred,43,3.517034410409248e-05
1-Pendulum,CLNN,avg_rel_err_pred,44,6.400276391759748e-05
1-Pendulum,CLNN,avg_rel_err_pred,45,6.4671314377442e-05
1-Pendulum,CLNN,avg_rel_err_pred,46,7.103697346574005e-05
1-Pendulum,CLNN,avg_rel_err_pred,47,4.787223197398864e-05
1-Pendulum,CLNN,avg_rel_err_pred,48,7.876271311586394e-05
1-Pendulum,CLNN,avg_rel_err_pred,49,8.572524216512e-06
1-Pendulum,CLNN,avg_rel_err_pred,50,2.6986627130792554e-05
1-Pendulum,CLNN,avg_rel_err_pred,51,0.00011076529318324405
1-Pendulum,CLNN,avg_rel_err_pred,52,7.45872403528857e-05
1-Pendulum,CLNN,avg_rel_err_pred,53,4.773847690135725e-05
1-Pendulum,CLNN,avg_rel_err_pred,54,0.0001333041287778483
1-Pendulum,CLNN,avg_rel_err_pred,55,0.0001735149510265392
1-Pendulum,CLNN,avg_rel_err_pred,56,4.623475143963828e-05
1-Pendulum,CLNN,avg_rel_err_pred,57,0.0001369062777995826
1-Pendulum,CLNN,avg_rel_err_pred,58,6.559323935193323e-05
1-Pendulum,CLNN,avg_rel_err_pred,59,3.59393046508586e-05
1-Pendulum,CLNN,avg_rel_err_pred,60,0.00012744878383800996
1-Pendulum,CLNN,avg_rel_err_pred,61,0.00020675114119154085
1-Pendulum,CLNN,avg_rel_err_pred,62,0.00013169392632227022
1-Pendulum,CLNN,avg_rel_err_pred,63,3.521427592518955e-05
1-Pendulum,CLNN,avg_rel_err_pred,64,0.00024821842981706955
1-Pendulum,CLNN,avg_rel_err_pred,65,1.4314008131944432e-05
1-Pendulum,CLNN,avg_rel_err_pred,66,1.5480374506641167e-05
1-Pendulum,CLNN,avg_rel_err_pred,67,2.6777182294020012e-05
1-Pendulum,CLNN,avg_rel_err_pred,68,8.612517961018276e-05
1-Pendulum,CLNN,avg_rel_err_pred,69,3.68319330099044e-05
1-Pendulum,CLNN,avg_rel_err_pred,70,0.0001569822474269978
1-Pendulum,CLNN,avg_rel_err_pred,71,0.00012655928567112924
1-Pendulum,CLNN,avg_rel_err_pred,72,1.1131735989282256e-05
