n_train,Network,Series,Batch,Geometric Mean
10,CLNN,avg_rel_err_pred,54,0.0032887494635425486
10,CLNN,avg_rel_err_pred,55,0.019716520635480857
10,CLNN,avg_rel_err_pred,56,0.15174224220405655
10,CLNN,avg_rel_err_pred,57,0.01226550168893688
10,CLNN,avg_rel_err_pred,58,0.004384455237506279
10,CLNN,avg_rel_err_pred,59,0.004823163649857432
10,CLNN,avg_rel_err_pred,60,0.0019742326212211308
10,CLNN,avg_rel_err_pred,61,0.00946020509056408
10,CLNN,avg_rel_err_pred,62,0.030350659383936447
10,CLNN,avg_rel_err_pred,63,0.005492560164396153
10,CLNN,avg_rel_err_pred,64,0.006173415745770952
10,CLNN,avg_rel_err_pred,65,0.018622295265427587
10,CLNN,avg_rel_err_pred,66,0.5690572725421017
10,CLNN,avg_rel_err_pred,67,0.006538354183196196
10,CLNN,avg_rel_err_pred,68,0.004750872777681314
10,CLNN,avg_rel_err_pred,69,0.004804787112121756
10,CLNN,avg_rel_err_pred,70,0.02119929192759195
10,CLNN,avg_rel_err_pred,71,0.008466881823996896
10,CLNN,avg_rel_err_pred,72,0.0027161155140830403
10,CLNN,avg_rel_err_pred,73,0.02695145924803767
10,CLNN,avg_rel_err_pred,74,0.0059338968164122825
10,CLNN,avg_rel_err_pred,75,0.003780296617660072
10,CLNN,avg_rel_err_pred,76,0.008340334984371952
10,CLNN,avg_rel_err_pred,77,0.003964188483846059
10,CLNN,avg_rel_err_pred,78,0.00689083127969051
10,CLNN,avg_rel_err_pred,79,0.2728707570153623
10,CLNN,avg_rel_err_pred,80,0.003261650272295282
10,CLNN,avg_rel_err_pred,81,0.024919992627446753
10,CLNN,avg_rel_err_pred,82,0.13071016938584643
10,CLNN,avg_rel_err_pred,83,0.009954881510212968
10,CLNN,avg_rel_err_pred,84,0.011514265901785004
10,CLNN,avg_rel_err_pred,85,0.004977540140794079
10,CLNN,avg_rel_err_pred,86,0.008640608916001623
10,CLNN,avg_rel_err_pred,87,0.007705182353453234
10,CLNN,avg_rel_err_pred,88,0.005905383098888866
10,CLNN,avg_rel_err_pred,89,0.005949397235517944
10,CLNN,avg_rel_err_pred,90,0.004558143336409871
10,CLNN,avg_rel_err_pred,91,0.3908064107897062
10,CLNN,avg_rel_err_pred,92,0.0026018111884254912
10,CLNN,avg_rel_err_pred,93,0.007630092496309616
10,CLNN,avg_rel_err_pred,94,0.0041730792659409564
10,CLNN,avg_rel_err_pred,95,0.01838828707683589
10,CLNN,avg_rel_err_pred,96,0.005574594701135377
10,CLNN,avg_rel_err_pred,97,0.01715817190941576
10,CLNN,avg_rel_err_pred,98,0.0023264368259935334
10,CLNN,avg_rel_err_pred,99,0.00594897333234904
10,DeLaN,avg_rel_err_pert,0,9.896461340628952e-05
10,DeLaN,avg_rel_err_pert,1,8.680289004723324e-05
10,DeLaN,avg_rel_err_pert,2,3.583551600485008e-05
10,DeLaN,avg_rel_err_pert,3,4.1367829132335366e-05
10,DeLaN,avg_rel_err_pert,4,4.546649716599048e-05
10,DeLaN,avg_rel_err_pert,5,0.00010446203688868251
10,DeLaN,avg_rel_err_pert,6,6.828136427893764e-05
10,DeLaN,avg_rel_err_pert,7,8.83508593214614e-05
10,DeLaN,avg_rel_err_pert,8,0.0005124947183221884
10,DeLaN,avg_rel_err_pert,9,2.1113024738440594e-05
10,DeLaN,avg_rel_err_pert,10,2.5101836512109157e-05
10,DeLaN,avg_rel_err_pert,11,2.231473841961305e-05
10,DeLaN,avg_rel_err_pert,12,3.839797678512092e-05
10,DeLaN,avg_rel_err_pert,13,3.141004848550765e-05
10,DeLaN,avg_rel_err_pert,14,4.003052990162485e-05
10,DeLaN,avg_rel_err_pert,15,0.0001445365389044315
10,DeLaN,avg_rel_err_pert,16,6.889125203275212e-05
10,DeLaN,avg_rel_err_pert,17,1.5636636995192895e-05
10,DeLaN,avg_rel_err_pert,18,4.319756847250418e-05
10,DeLaN,avg_rel_err_pert,19,5.37735298478807e-05
10,DeLaN,avg_rel_err_pert,20,5.16197069129873e-05
10,DeLaN,avg_rel_err_pert,21,7.462278419790761e-05
10,DeLaN,avg_rel_err_pert,22,7.70296584340263e-05
10,DeLaN,avg_rel_err_pert,23,0.00011630634020353694
10,DeLaN,avg_rel_err_pert,24,7.170569224796608e-05
10,DeLaN,avg_rel_err_pert,25,5.129676305953067e-05
10,DeLaN,avg_rel_err_pert,26,3.499710285479046e-05
10,DeLaN,avg_rel_err_pert,27,6.695768880927634e-05
10,DeLaN,avg_rel_err_pert,28,3.799818380415806e-05
10,DeLaN,avg_rel_err_pert,29,5.3072044009528e-05
10,DeLaN,avg_rel_err_pert,30,0.00011822000647515817
10,DeLaN,avg_rel_err_pert,31,7.74013704143302e-05
10,DeLaN,avg_rel_err_pert,32,4.824221744371078e-05
10,DeLaN,avg_rel_err_pert,33,5.461992216160152e-05
10,DeLaN,avg_rel_err_pert,34,1.75079350915593e-05
10,DeLaN,avg_rel_err_pert,35,0.00011203237296280096
10,DeLaN,avg_rel_err_pert,36,3.174063813398434e-05
10,DeLaN,avg_rel_err_pert,37,9.151200600864854e-05
10,DeLaN,avg_rel_err_pert,38,8.547271756512909e-05
10,DeLaN,avg_rel_err_pert,39,9.356759088830556e-05
10,DeLaN,avg_rel_err_pert,40,2.6544922093195607e-05
10,DeLaN,avg_rel_err_pert,41,6.0630349590763456e-05
10,DeLaN,avg_rel_err_pert,42,5.720097318282433e-05
10,DeLaN,avg_rel_err_pert,43,7.570017352030664e-05
10,DeLaN,avg_rel_err_pert,44,4.074523611638529e-05
10,DeLaN,avg_rel_err_pert,45,8.831177425222181e-05
10,DeLaN,avg_rel_err_pert,46,0.000152531816392159
10,DeLaN,avg_rel_err_pert,47,2.122996142678707e-05
10,DeLaN,avg_rel_err_pert,48,1.6243347834920027e-05
10,DeLaN,avg_rel_err_pert,49,0.0002906882185116998
10,DeLaN,avg_rel_err_pert,50,7.418495401757351e-05
10,DeLaN,avg_rel_err_pert,51,5.5359530583323984e-05
10,DeLaN,avg_rel_err_pert,52,1.589898405158223e-05
10,DeLaN,avg_rel_err_pert,53,5.7248680082765424e-05
10,DeLaN,avg_rel_err_pert,54,0.00015248766321434827
10,DeLaN,avg_rel_err_pert,55,1.9227427174632012e-05
10,DeLaN,avg_rel_err_pert,56,0.000103490457750445
